name,rating,reviews,interviews,benefits,Higher_rate_for,lower_rate_for
SMFG India Credit,4.1,3.5k,96,348,"Salary & Benefits, Job Security, Skill Development / Learning",
Cholamandalam Investment & Finance,4.0,3.5k,108,314,"Salary & Benefits, Job Security, Skill Development / Learning",
Ekart Logistics,4.1,3.5k,201,364,"Skill Development / Learning, Salary & Benefits, Company Culture",
BNY Mellon,4.1,3.4k,194,554,"Company Culture, Work Life Balance, Job Security",
Schneider Electric,4.1,3.4k,210,484,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Oyo Rooms,3.4,3.4k,159,393,"Job Security, Promotions / Appraisal, Work Satisfaction",
Hyundai Motor,4.4,3.4k,181,569,"Job Security, Salary & Benefits, Skill Development / Learning",
Amdocs,4.0,3.4k,334,678,"Company Culture, Job Security, Salary & Benefits",
L&T Technology Services,3.4,3.4k,265,459,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
BT Group,4.1,3.3k,94,313,"Job Security, Work Life Balance, Company Culture",
CBRE,4.2,3.3k,160,481,"Skill Development / Learning, Company Culture, Job Security",
State Bank of India,3.7,3.3k,159,402,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
JBM Group,4.0,3.3k,182,391,"Job Security, Skill Development / Learning",
Swiggy,3.9,3.3k,255,364,Salary & Benefits,"Job Security, Promotions / Appraisal"
Ecom Express,4.1,3.2k,140,334,"Skill Development / Learning, Work Life Balance, Company Culture",
Dell,4.2,3.2k,238,565,"Company Culture, Work Life Balance, Job Security",
SBI Life Insurance Company,3.8,3.2k,154,334,Job Security,Promotions / Appraisal
Optum,4.0,3.2k,267,568,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Bajaj Auto,3.9,3.2k,188,561,Promotions / Appraisal,
Future Group,4.3,3.2k,65,421,"Skill Development / Learning, Company Culture, Work Satisfaction",
Nagarjuna Construction Company,4.1,3.2k,200,415,"Job Security, Skill Development / Learning, Company Culture",
KEC International,4.1,3.1k,203,451,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Piramal Capital Housing Finance,4.2,3.1k,130,270,"Company Culture, Skill Development / Learning, Salary & Benefits",
Muthoot Fincorp,4.0,3.1k,97,282,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Aditya Birla Fashion and Retail,4.2,3.1k,118,428,"Job Security, Skill Development / Learning, Company Culture",
Royal Enfield,4.2,3k,105,415,"Skill Development / Learning, Company Culture, Work Satisfaction",
Viatris,4.3,3k,99,526,"Salary & Benefits, Job Security, Work Life Balance",
L&T Finance,4.0,3k,84,269,"Salary & Benefits, Skill Development / Learning",
Tata Communications,4.2,3k,178,434,"Job Security, Company Culture, Skill Development / Learning",
Samvardhana Motherson Group,3.8,3k,162,414,Job Security,
Kogta Financial India Limited,4.8,3k,66,50,"Company Culture, Work Life Balance, Work Satisfaction",
LG Electronics,4.0,3k,143,416,"Job Security, Skill Development / Learning, Salary & Benefits",
Intas Pharmaceuticals,4.1,2.9k,139,404,"Job Security, Work Life Balance, Salary & Benefits",
John Deere,4.3,2.9k,151,432,"Company Culture, Skill Development / Learning, Job Security",
Varun Beverages,4.0,2.9k,149,331,"Job Security, Salary & Benefits",Promotions / Appraisal
Godrej & Boyce Manufacturing,3.9,2.9k,125,429,Job Security,Promotions / Appraisal
Randstad,3.9,2.8k,175,342,"Promotions / Appraisal, Job Security",
Persistent Systems,3.8,2.8k,304,406,"Company Culture, Skill Development / Learning",Promotions / Appraisal
Thermax Limited,4.2,2.8k,162,387,"Job Security, Company Culture, Skill Development / Learning",
Hetero Drugs,3.8,2.8k,146,341,Job Security,"Promotions / Appraisal, Salary & Benefits"
Macleods Pharmaceuticals,3.7,2.8k,121,367,Job Security,"Promotions / Appraisal, Company Culture"
Havells,4.1,2.8k,128,333,"Work Life Balance, Salary & Benefits, Company Culture",
Deutsche Bank,4.1,2.8k,212,416,"Job Security, Work Life Balance, Company Culture",
CARS24,3.6,2.8k,212,422,"Job Security, Promotions / Appraisal, Work Satisfaction",
Sodexo,4.1,2.8k,106,382,"Skill Development / Learning, Company Culture, Work Life Balance",
